timestamp,VOC,CH4,SMOKE,CO,ODOR,label
22960,442,444,226,78,636,cola
22976,440,444,227,78,635,cola
22992,439,442,227,78,635,cola
23008,438,440,229,78,635,cola
23024,437,438,230,77,635,cola
23040,436,436,230,77,635,cola
23056,435,434,230,77,637,cola
23072,434,433,231,76,638,cola
23088,433,432,231,76,640,cola
23104,433,431,231,75,642,cola
23120,432,429,231,75,644,cola
23136,431,427,230,75,646,cola
23152,430,424,229,75,648,cola
23168,428,421,228,76,648,cola
23184,428,420,226,75,650,cola
23200,427,421,225,75,650,cola
23216,426,425,224,76,651,cola
23232,426,431,223,76,652,cola
23248,426,437,222,75,653,cola
23264,427,442,222,76,655,cola
23280,429,447,221,76,656,cola
23296,430,449,220,76,656,cola
23312,432,450,219,77,655,cola
23328,435,450,219,77,655,cola
23344,437,451,218,77,653,cola
23360,439,452,218,77,652,cola
23376,441,454,218,77,651,cola
23392,442,456,218,77,650,cola
23408,442,458,218,77,649,cola
23424,441,459,219,77,646,cola
23440,440,459,219,77,644,cola
23456,440,457,220,76,643,cola
23472,439,453,220,76,642,cola
23488,439,449,220,76,641,cola
23504,438,447,220,76,640,cola
23520,438,447,219,75,640,cola
23536,439,448,218,75,638,cola
23552,441,446,217,75,637,cola
23568,442,444,217,75,636,cola
23584,443,444,216,75,633,cola
23600,443,442,216,75,632,cola
23616,442,440,215,74,631,cola
23632,441,438,215,74,631,cola
23648,441,436,214,75,631,cola
23664,440,434,213,75,632,cola
23680,439,433,212,75,634,cola
23696,438,431,211,75,637,cola
23712,438,430,210,75,639,cola
23728,437,430,210,76,641,cola
23744,437,429,209,75,642,cola
23760,436,429,209,75,642,cola
23776,436,428,210,75,642,cola
23792,436,427,210,75,643,cola
23808,434,426,210,74,643,cola
23824,432,424,210,75,643,cola
23840,431,423,210,75,644,cola
23856,432,425,211,76,645,cola
23872,434,430,213,76,643,cola
23888,437,432,213,77,640,cola
23904,438,435,213,76,638,cola
23920,437,435,212,76,636,cola
23936,436,435,212,76,635,cola
23952,435,435,211,76,633,cola
23968,435,434,211,77,631,cola
23984,434,433,211,76,630,cola
24000,432,433,210,75,631,cola
24016,431,432,210,75,631,cola
24032,430,431,209,76,629,cola
24048,430,432,209,75,629,cola
24064,430,433,208,75,630,cola
24080,431,435,208,74,630,cola
24096,432,435,207,75,629,cola
24112,432,434,208,75,628,cola
24128,432,435,207,76,628,cola
24144,432,435,207,77,628,cola
24160,432,436,208,76,629,cola
24176,431,435,207,77,630,cola
24192,430,432,207,77,632,cola
24208,429,428,206,77,632,cola
24224,428,425,205,76,632,cola
24240,426,422,204,76,631,cola
24256,424,418,202,75,630,cola
24272,423,415,200,74,629,cola
24288,422,412,199,73,628,cola
24304,421,411,198,73,627,cola
24320,420,410,197,73,627,cola
24336,419,409,196,73,627,cola
24352,418,410,196,73,626,cola
24368,418,411,196,73,626,cola
24384,418,411,196,72,625,cola
24400,418,412,196,73,625,cola
24416,418,413,197,73,625,cola
24432,418,414,197,73,624,cola
24448,418,415,198,73,624,cola
24464,418,416,198,73,624,cola
24480,418,417,198,73,624,cola
24496,417,416,198,73,624,cola
24512,416,416,198,73,624,cola
24528,416,415,198,73,624,cola
24544,415,414,197,73,623,cola
24560,415,413,197,73,623,cola
24576,414,412,195,73,624,cola
24592,414,412,194,73,625,cola
24608,413,412,193,73,625,cola
24624,413,413,193,73,625,cola
24640,413,419,194,73,625,cola
60576,352,457,161,84,581,cola
60592,350,451,161,83,582,cola
60608,349,446,161,83,582,cola
60624,348,442,160,84,583,cola
60640,347,440,160,84,583,cola
60656,347,441,161,84,583,cola
60672,347,444,160,85,584,cola
60688,347,448,160,85,584,cola
60704,347,452,161,84,583,cola
60720,348,457,160,84,582,cola
60736,349,463,161,84,581,cola
60752,349,467,161,83,580,cola
60768,348,467,161,83,579,cola
60784,344,456,162,83,579,cola
60800,341,442,162,83,579,cola
60816,339,437,161,84,579,cola
60832,339,442,160,85,579,cola
60848,340,447,159,85,579,cola
60864,340,451,159,86,579,cola
60880,339,453,159,86,579,cola
60896,340,454,158,86,579,cola
60912,340,455,158,86,579,cola
60928,339,454,158,86,579,cola
60944,339,449,158,86,580,cola
60960,338,439,158,86,581,cola
60976,337,430,157,86,583,cola
60992,335,422,155,86,584,cola
61008,334,418,152,85,586,cola
61024,333,424,151,83,588,cola
61040,336,437,150,83,589,cola
61056,341,447,151,82,589,cola
61072,346,453,150,82,589,cola
61088,345,456,151,82,589,cola
61104,341,443,151,82,589,cola
61120,339,437,150,82,589,cola
61136,336,428,150,81,590,cola
61152,335,427,149,81,590,cola
61168,333,435,149,80,590,cola
61184,333,432,150,80,590,cola
61200,332,426,150,80,592,cola
61216,330,422,149,80,593,cola
61232,330,424,150,80,594,cola
61248,330,427,149,80,596,cola
61264,330,431,150,80,597,cola
61280,330,434,151,81,598,cola
61296,330,437,151,80,598,cola
61312,331,443,152,81,598,cola
61328,332,450,153,81,598,cola
61344,333,455,154,81,598,cola
61360,332,458,154,82,599,cola
61376,332,456,155,83,599,cola
61392,330,448,156,84,599,cola
61408,329,436,157,84,599,cola
61424,328,427,157,85,599,cola
61440,328,423,156,86,598,cola
61456,327,426,156,86,597,cola
61472,329,431,156,87,596,cola
61488,334,436,157,86,595,cola
61504,339,444,158,85,594,cola
61520,340,450,158,84,592,cola
61536,340,451,159,84,590,cola
61552,338,444,159,84,590,cola
61568,337,432,159,84,589,cola
61584,335,425,158,84,591,cola
61600,333,420,156,84,591,cola
61616,332,418,154,83,593,cola
61632,330,416,153,82,593,cola
61648,330,412,152,82,595,cola
61664,329,408,151,81,596,cola
61680,327,406,150,81,596,cola
61696,327,405,149,81,596,cola
61712,326,408,148,80,596,cola
61728,326,413,147,80,595,cola
61744,325,415,148,80,595,cola
